Challenge,Trivialname,InChI,InChIkey,Formula,PubChem CID,ChemSpID,ION_MODE,PRECURSOR_MZ
Challenge1,LysoPE(18:1/0:0) [1_oleoyl_2_hydroxy_sn_glycero_3_phosphoethanolamine],"InChI=1S/C23H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h9-10,22,25H,2-8,11-21,24H2,1H3,(H,27,28)/b10-9-/t22-/m1/s1",PYVRVRFVLRNJLY-MZMPXXGTSA-N,C23H46NO7P,9547071,7826021,,
Challenge2,Lipoamide,"InChI=1S/C8H15NOS2/c9-8(10)4-2-1-3-7-5-6-11-12-7/h7H,1-6H2,(H2,9,10)",FCCDDURTIIUXBY-UHFFFAOYSA-N,C8H15NOS2,863,840,,
Challenge3,2-hydroxyhippuric acid,"InChI=1S/C9H9NO4/c11-7-4-2-1-3-6(7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)",ONJSZLXSECQROL-UHFFFAOYSA-N,C9H9NO4,10253,9835,,
Challenge4,3-nitrotyrosine,"InChI=1S/C9H10N2O5/c10-6(9(13)14)3-5-1-2-8(12)7(4-5)11(15)16/h1-2,4,6,12H,3,10H2,(H,13,14)/t6-/m0/s1",FBTSQILOGYXGMD-LURJTMIESA-N,C9H10N2O5,65124,205676,,
Challenge5,5-hydroxytryptophan,"InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)",LDCYZAJDBXYCGN-UHFFFAOYSA-N,C11H12N2O3,144,141,,
Challenge6,"3,4-Dihydroxyphenylacetic Acid (DOPAC)","InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",CFFZDZCDUFSOFZ-UHFFFAOYSA-N,C8H8O4,547,532,,
Challenge7,Vitamin D3,"InChI=1S/C27H44O/c1-19(2)8-6-9-21(4)25-15-16-26-22(10-7-17-27(25,26)5)12-13-23-18-24(28)14-11-20(23)3/h12-13,19,21,24-26,28H,3,6-11,14-18H2,1-2,4-5H3/b22-12+,23-13-/t21-,24+,25-,26+,27-/m1/s1",QYSXJUFSXHHAJI-YRZJJWOYSA-N,C27H44O,5280795,4444353,,
Challenge8,Sucrose,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",CZMRCDWAGMRECN-UGDNZRGBSA-N,C12H22O11,5988,5768,,
Challenge9,Gamma-Glutamylcysteinylglycine (reduced glutathione),"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)",RWSXRVCMGQZWBV-UHFFFAOYSA-N,C10H17N3O6S,745,725,,
Challenge10,Adenosine-5-monophosphate,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",UDMBCSSLTHHNCD-KQYNXXCUSA-N,C10H14N5O7P,6083,5858,,
