,Challenge,InChIkey,PubChem CID,ChemSpider ID,InChI,SMILES,ION_MODE,PRECURSOR_MZ
1,challenge-001,UQGVUYNHDKMLSE-UHFFFAOYSA-N,9838356,8014076,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-6,11,16-18H,7H2","c1cc(ccc1C1COc2cc(cc(c2C1=O)O)O)O	",POSITIVE,273.1
2,challenge-002,SWPKMTGYQGHLJS-JXMROGBWSA-N,11186786,9361870,"InChI=1S/C21H22O4/c1-13(2)14(3)18-11-16(21(25-4)12-20(18)24)7-10-19(23)15-5-8-17(22)9-6-15/h5-12,14,22,24H,1H2,2-4H3/b10-7+","C=C(C)C(C)c1cc(/C=C/C(=O)c2ccc(cc2)O)c(cc1O)OC	",POSITIVE,339.2
3,challenge-003,YMZWKEYJSYDVKL-PKNBQFBNSA-N,1376042,1150995,"InChI=1S/C19H21NO3/c1-22-17-10-8-16(14-18(17)23-2)12-13-20-19(21)11-9-15-6-4-3-5-7-15/h3-11,14H,12-13H2,1-2H3,(H,20,21)/b11-9+","COc1ccc(CCN=C(/C=C/c2ccccc2)O)cc1OC	",POSITIVE,312.2
4,challenge-004,OBWHQJYOOCRPST-UHFFFAOYSA-N,5281611,4444930,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)15-14(19)13(18)11-6-5-10(17)7-12(11)20-15/h1-7,16-17,19H","c1cc(ccc1c1c(c(=O)c2ccc(cc2o1)O)O)O	",POSITIVE,271.1
5,challenge-005,RGNXWPVNPFAADO-NSIKDUERSA-N,5281295,4444681,"InChI=1S/C15H10O5/c16-9-2-3-10-13(7-9)20-14(15(10)19)6-8-1-4-11(17)12(18)5-8/h1-7,16-18H/b14-6-","c1cc(c(cc1/C=C\1/C(=O)c2ccc(cc2O1)O)O)O	",POSITIVE,271.1
6,challenge-006,PVFGJHYLIHMCQD-UHFFFAOYSA-N,5322065,4479651,"InChI=1S/C15H10O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-7,16-17,19H","c1cc(c(cc1c1cc(=O)c2ccc(cc2o1)O)O)O	",POSITIVE,271.1
7,challenge-007,KZNIFHPLKGYRTM-UHFFFAOYSA-N,5280443,4444100,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H","c1cc(ccc1c1cc(=O)c2c(cc(cc2o1)O)O)O	",POSITIVE,271.1
8,challenge-008,QJKMIJNRNRLQSS-WEVVVXLNSA-N,6442675,4946739,"InChI=1S/C16H14O4/c1-20-16-10-14(18)8-4-12(16)5-9-15(19)11-2-6-13(17)7-3-11/h2-10,17-18H,1H3/b9-5+","COc1cc(ccc1/C=C/C(=O)c1ccc(cc1)O)O	",POSITIVE,271.1
9,challenge-009,MEHHCBRCXIDGKZ-UHFFFAOYSA-N,10246505,8421992,"InChI=1S/C20H18O5/c1-11(2)3-8-14-15(22)9-16(23)19-17(24)10-18(25-20(14)19)12-4-6-13(21)7-5-12/h3-7,9-10,21-23H,8H2,1-2H3","CC(=CCc1c(cc(c2c(=O)cc(c3ccc(cc3)O)oc12)O)O)C	",NEGATIVE,337.1
10,challenge-010,SWGUPFWFYUMIGH-CYBMUJFWSA-N,171125,149603,"InChI=1S/C13H22N2O/c1-11(16)15-9-5-6-12(10-15)13-7-3-4-8-14(13)2/h10,13H,3-9H2,1-2H3/t13-/m1/s1","CC(=O)N1CCCC(=C1)[C@H]1CCCCN1C	",POSITIVE,223.2
