Compound Number,File,RT [min],Precursor m/z (Da),Priority/Bonus,Adduct,InChIKey,SMILES
251,A_M22_negPFP_03,1.03,209.0819,Bonus,[M+FA-H]-,NYICIIFSBJOBKE-UHFFFAOYSA-N,COC1=CC=C(C=C1)C=CCO
252,A_M15_negPFP_03,0.79,359.1348,Bonus,[M+FA-H]-,UTQOLIYEFVSSCL-AICCOOGYSA-N,C1=CC(=CC=C1CCCOC2C(C(C(C(O2)CO)O)O)O)O
253,A_M12_posPFP_01,3.22,455.1489,Bonus,[M+H]+,BIQMSWPBPAKGSE-UHFFFAOYSA-N,C1=CC(=CC=C1C=C2C(C(C3=C2C=C(C=C3O)O)C4=CC=C(C=C4)O)C5=CC(=CC(=C5)O)O)O
254,A_M15_posPFP_01,3.69,329.2323,Bonus,[M+H]+,CAIKQNWPWSTGHN-UHFFFAOYSA-N,CC(CCCC=CCC=CC(C(CCCCCC(=O)O)O)O)O
255,A_M1_posPFP_01,1.72,265.1071,Bonus,[M+H]+,CNXACDYPVKUDEK-UHFFFAOYSA-N,CCC1(C(C2=COC(=C(C2=CC1=O)C)C(=O)O)O)C
256,A_M7_posPFP_01,6.24,403.2326,Bonus,[M+H]+,QZCLKYGREBVARF-UHFFFAOYSA-N,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C
257,A_M19_posPFP_02,5.91,685.3922,Bonus,[M+Na]+,NNFJPOSVDKIWPO-JSNBICHOSA-N,CC1CC2C(OC3(C1C4(CCC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)OC8C(C(C(CO8)O)O)O)C)O2)C(C)(C)OC(=O)C
258,A_M10_posPFP_01,5.2,434.2748,Bonus,[M+NH4]+,AJXDSAZVECQTSV-JCICCBKCSA-N,CC(=CCCC(=CCCC(C)(CC(=O)O)OC1C(C(C(C(O1)CO)O)O)O)C)C
259,A_M14_posPFP_01,5.98,502.3527,Bonus,[M+NH4]+,CKIDYWZCPUNPOX-UHFFFAOYSA-N,CC1CC2C(C(OC3(C1C4(CCC56CC57C=CC(=O)C(C7CCC6C4(C3O)C)(C)C)C)O2)(C)C)O
260,A_M17_posPFP_01,2.14,402.1759,Bonus,[M+NH4]+,VDPAKISICIIDIJ-MPCGSQQASA-N,CCCCC1(C2=C(C=CC=C2OC3C(C(C(C(O3)CO)O)O)O)C(=O)O1)O
261,A_M2_negPFP_03,5.35,899.1676,Bonus,[M-H]-,ADNMXQSCHOROTR-VHZKUOFCSA-N,C1C2C(C(C(C(O2)OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC=C(C=C4)O)O)O)OC(=O)C=CC5=CC(=C(C=C5)O)O)OC(=O)C6=CC(=C(C(=C6C7=C(C(=C(C=C7C(=O)O1)O)O)O)O)O)O
262,A_M1_negPFP_03,4.94,237.1496,Bonus,[M-H]-,LQZXAHKUYJVAAR-UHFFFAOYSA-N,CC1(CCCC2(C1CC(C(=C2)C(=O)O)O)C)C
263,A_M13_negPFP_03,0.78,353.0878,Bonus,[M-H]-,NPDJLYQZNREONG-MNNDFKHZSA-N,CC1=CC(=CC2=C1C(=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O
264,E_M17_posPFP_01,5.35,249.0789,Bonus,[M+H]+,FUZYTVDVLBBXDL-UHFFFAOYSA-N,C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)Cl)C(=O)N
265,A_M2_negPFP_04,4.92,1227.5571,Bonus,[M+Cl]-,GKIBQZNTGYPVPX-BFWMOCKMSA-N,CC1C(C(C(C(O1)OC2C(COC(C2O)OC3C(OC(C(C3OC4C(C(CO4)(CO)O)O)O)OC5C(C(COC5OC(=O)C67CCC(CC6C8=CCC9C1(CC(C(C(C1C(CC9(C8(CC7)C)C)O)(C)CO)O)O)C)(C)C)O)O)C)O)O)O)O
266,A_M4_negPFP_03,0.34,345.0827,Bonus,[M+FA-H]-,XSSDYIMYZONMBL-UHFFFAOYSA-N,C1=CC(=CC=C1C(=O)O)OC2C(C(C(C(O2)CO)O)O)O
267,A_M13_negPFP_03,5.08,457.2443,Bonus,[M+FA-H]-,ZVVJVAKXIGRPRA-UHFFFAOYSA-N,CC12CCCC(C1CCC(=C)C2CCC3(C(C(OC3OC)OC)O)O)(C)C(=O)O
268,A_M15_posPFP_01,5.83,361.201,Bonus,[M+H]+,DNVWQCQBNPHAPT-UHFFFAOYSA-N,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC=C(C)CCO)O
269,A_M1_posPFP_01,2,297.1081,Bonus,[M+H]+,FKDSAXOHMLWBNA-XCBNKYQSSA-N,CC(C(C(=O)OC)NC(=O)C1=C(C(=CC=C1)NC=O)O)O
270,A_M1_posPFP_01,5.51,317.2111,Bonus,[M+H]+,KZIADLALQLRZIQ-DBVHFHOUSA-N,CC1=C2C=C3CCC4C(C(CCC4(C3CC2OC1=O)C)O)(C)C
271,A_M8_posPFP_01,1.21,211.1441,Bonus,[M+H]+,SZJNCZMRZAUNQT-UHFFFAOYSA-N,CC(C)CC1C(=O)N2CCCC2C(=O)N1
272,A_M12_posPFP_01,0.93,465.1028,Bonus,[M+H]+,WLCYEFFWFTVKQR-LTONGVQOSA-N,C1=CC(=C(C(=C1)OC2C(C(C(C(O2)CO)O)O)O)C3=C(C(=O)C4=C(C=C(C=C4O3)O)O)O)O
273,A_M14_posPFP_02,5.83,569.3449,Bonus,[M+Na]+,KEVQRIWNMCXXHQ-UHFFFAOYSA-N,CC1CC2C(OC3(C1C4(C(CC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)O)O)C)O2)C(C)(C)OC(=O)C
274,A_M17_posPFP_01,1.13,434.2021,Bonus,[M+NH4]+,DWYFWLYCTOAXKY-XSNZJGGGSA-N,C1=CC=C(C=C1)CCOC2C(C(C(C(O2)COC3C(C(C(O3)CO)O)O)O)O)O
275,A_M10_posPFP_01,5.48,1080.5797,Bonus,[M+NH4]+,QOPHHVLUTLSYGH-UHFFFAOYSA-N,CCCCCC(CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)O)OC1C(C(C(C(O1)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)OC3C(C(C(C(O3)CO)O)O)O)O
276,A_M15_negPFP_03,4.15,345.1707,Bonus,[M-H]-,BVFKMONTRIVXBO-UHFFFAOYSA-N,CC(CO)C(C)C(C1=CC(=C(C=C1)O)OC)C2=CC(=C(C=C2)O)OC
277,A_M22_negPFP_03,1.04,227.0925,Bonus,[M-H]-,HBRRDZNNYPXQDQ-UHFFFAOYSA-N,"
CC1C(=O)C(O)(C(O)C=1O)C(=O)CC(C)C"
278,E_M28_posPFP_01,0.29,173.0921,Bonus,[M+H]+,RNKSNIBMTUYWSH-YFKPBYRVSA-N,C1CC(NC1)C(=O)NCC(=O)O
279,A_M13_negPFP_03,2.14,503.177,Bonus,[M+FA-H]-,IXBZGANUFHLILF-OGNZNRKXSA-N,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(C=CC(=C3)CC=C)O)O)O)O)O)O)O
