Compound Number,File,RT [min],Precursor m/z (Da),Priority/Bonus,Adduct,InChIKey,SMILES
1,A_M28_negPFP_04,1.67,517.2210,Priority,[M+Cl]-,ZUDBDCBPZHGAEL-DCYCNZAJSA-N,CC12CC(CC(C1CCC34C2CCC(C3)C(=C)C4O)C(=O)O)OC5C(C(C(C(O5)CO)O)O)O
2,A_M8_negPFP_03,3.70,959.4857,Priority,[M+FA-H]-,ZKCHQVRAXCCTLE-YXHZOQBQSA-N,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)CC=C7C3(CCC8(C7CC(CC8)(C)O)C(=O)O)C)C)C
3,A_M3_posPFP_01,5.55,719.2546,Priority,[M+H]+,UYALDZZEAZIEME-MYTBKXFISA-N,CC1C(C(C(C(O1)OC2=C(OC3=C(C(=CC(=C3C2=O)O)O)CC=C(C)C)C4=CC=C(C=C4)OC)O)OC5C(C(C(C(O5)CO)O)O)O)OC(=O)C
4,A_M6_posPFP_02,5.74,467.2728,Priority,[M+Na]+,IFQVIMQHTPDZQU-UHFFFAOYSA-N,CC(C)CC(C(=O)O)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(CC(C)C)O
5,A_M23_posPFP_02,5.55,499.2302,Priority,[M+Na]+,XPXRFYSHQGUVFK-UTXMSIPTSA-N,CC1CC2(C(C1O)C=C(C(CC3C(C3(C)C)C=C(C2=O)C)OC(=O)CCC(=O)O)C)OC(=O)C
6,A_M26_posPFP_01,5.23,1102.5793,Priority,[M+NH4]+,XPCKJVBBSBPFQL-DCULSWDLSA-N,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(=C)CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)O)C)O)O)O)COC(=O)C)O)O)O
7,A_M24_negPFP_03,1.99,577.1563,Priority,[M-H]-,LYKXPTCUGPKDQL-ZRXCBZTOSA-N,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=CC4=C3C(=O)C=C(O4)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
8,A_M6_negPFP_03,6.29,371.2439,Priority,[M-H]-,RZCUHAHZISRSJD-UHFFFAOYSA-N,CCCCCCCCCC(=O)OC(C(C(C)C)OC(=O)C(C)C)C(=O)O
9,E_M28_posPFP_01,3.41,336.1740,Priority,[M+H]+,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3
10,E_M86_posPFP_01,2.25,472.2092,Priority,[M+H]+,YBSJFWOBGCMAKL-UHFFFAOYSA-N,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N
